intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",53.52
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",51.35
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",57.41
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",57.0
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",54.12
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",52.67
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",57.14
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",52.06
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",108.94
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",102.13
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",110.91
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",116.2
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",110.19
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",100.19
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",116.5
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",112.88
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",116.38
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",115.97
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",120.14
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",109.13
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",104.71
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",100.43
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",117.19
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",111.52
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",108.82
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",98.12
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",113.32
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.87
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.98
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",113.76
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",112.31
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",100.63
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",104.16
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",106.14
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",105.84
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",108.05
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",108.82
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",112.5
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",100.41
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",101.48
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",104.17
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",101.36
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",106.18
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",102.42
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",122.16
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",118.97
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",120.49
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",117.34
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",112.87
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",95.19
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",93.68
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",93.87
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",93.87
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",97.36
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",97.36
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",94.61
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",92.54
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",77.35
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",98.01
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",101.53
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",94.25
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",101.4
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",85.85
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",95.09
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",85.12
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",86.46
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",79.02
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",88.5
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",97.82
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",99.16
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",99.16
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",99.05
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",99.05
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",97.53
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",100.98
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",98.41
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",93.3
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",70.19
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",93.12
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",102.74
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",84.1
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",92.42
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",82.75
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",97.13
B,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",90.46
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",91.13
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",90.61
B,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",94.25
B,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",84.32
B,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",64.38
B,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",102.62
B,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",105.76
B,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",71.04
B,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.5
B,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",62.4
B,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",71.41
B,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",73.27
B,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",69.43
B,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",67.25
B,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",69.48
B,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",59.38
B,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",77.53
B,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",77.63
B,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",66.33
B,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",62.98
B,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",69.08
B,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",68.88
B,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",69.19
B,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",66.98
B,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",71.66
B,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",69.04
B,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",70.88
B,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",74.81
B,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",72.17
B,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",70.56
B,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",64.66
B,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",72.67
B,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",60.7
B,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",74.27
B,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",75.49
B,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",70.11
B,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",71.33
B,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",68.72
B,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",70.83
B,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",50.81
B,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",68.65
B,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",73.2
B,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",66.27
B,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",67.6
B,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",73.51
B,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",71.07
B,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",65.88
B,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",72.36
B,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",74.62
C,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",151.85
C,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",152.32
C,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",152.32
C,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",158.13
C,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",158.13
C,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",154.73
C,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",158.36
C,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",158.88
C,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",158.88
C,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",162.46
C,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",162.46
C,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",158.86
C,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",154.19
C,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",154.68
C,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",154.68
C,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",155.72
C,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",155.72
C,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",152.41
C,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",158.73
C,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",160.87
C,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",160.87
C,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",160.64
C,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",160.64
C,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",159.04
C,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",161.54
C,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",165.58
C,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",165.58
C,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",164.74
C,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",165.32
C,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",164.47
C,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",152.67
C,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",153.66
C,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",153.66
C,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",156.06
C,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",156.58
C,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",155.8
C,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",151.94
C,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",152.41
C,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",152.41
C,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",152.49
C,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",152.49
C,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",149.32
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",123.48
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",123.93
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",123.93
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",129.11
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",129.11
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",126.37
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",129.21
C,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",129.7
C,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",145.62
C,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",132.94
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",132.94
C,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",144.92
C,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",125.55
C,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",126.02
C,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",126.02
C,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",126.96
C,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",126.96
C,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.3
C,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",128.86
C,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",130.77
C,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",130.77
C,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",130.59
C,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",130.59
C,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",129.48
C,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",132.37
C,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",157.44
C,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",131.01
C,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",150.73
C,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",135.3
C,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",146.59
C,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",124.57
C,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",125.46
C,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",107.59
C,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",127.03
C,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",114.93
C,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",115.11
C,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",123.84
C,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",124.28
C,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",139.49
C,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",129.34
C,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",126.62
C,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",135.89
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",53.65
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",51.84
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",51.53
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",52.78
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",49.97
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",48.17
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",51.73
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",50.64
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",54.77
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",55.57
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",46.55
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",51.53
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",49.09
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",51.73
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",51.25
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",52.7
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",48.21
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",51.08
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",55.11
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",52.88
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",54.55
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",54.01
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",53.39
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",53.52
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",52.09
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",53.54
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",52.14
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",51.76
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",51.17
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",50.26
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",49.66
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",48.57
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",43.33
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",48.94
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",48.55
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",52.85
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",51.52
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",43.24
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",46.65
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",50.99
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",52.33
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",48.67
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",98.04
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",96.5
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",97.33
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",99.91
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",107.29
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",99.34
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",93.08
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",100.17
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",99.16
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",102.04
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",93.68
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",95.88
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",94.71
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",97.06
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",99.04
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",95.15
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",95.65
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",94.61
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",94.17
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",104.0
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",91.85
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",100.7
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",100.46
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",100.85
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",108.65
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",96.22
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",104.32
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",105.03
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",105.11
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",99.6
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",91.62
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",96.91
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",98.91
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",93.26
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",95.55
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",98.05
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",95.64
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",89.35
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",101.05
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",100.88
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",95.83
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",97.6
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",100.58
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",100.58
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",101.21
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",99.75
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",99.75
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",99.75
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",102.7
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",110.01
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",100.43
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",105.53
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",105.17
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",107.57
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",90.86
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",98.15
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",98.76
B,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",96.38
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",96.38
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",90.55
B,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",99.45
B,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",99.45
B,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",100.09
B,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",101.18
B,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",101.18
B,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",101.18
B,1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",109.06
B,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",131.86
B,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",109.91
B,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",129.2
B,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",106.35
B,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",101.93
B,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",111.56
B,1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",95.92
B,1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",109.34
B,1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",99.35
B,1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",115.39
B,1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",126.98
B,1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",75.81
B,1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",98.51
B,1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",99.13
B,1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",95.11
B,1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",85.66
